Location,Symbol Text,Description,Part Number,Quantity,Manufacturer,Notes,Number,Drawing Number,Equipment,Order Number
 POWER PANEL,MS2,COVER,SZ-T16,1,FUJI,UL 25kA with EW125JAGU,64,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS2,SURGE ABS. UNIT,SZ-Z31,1,FUJI,UL 25kA with EW125JAGU,64,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS324,MAGNETIC SWITCH,SW-5-1/G/2E,1,FUJI,UL 18kA with EW125JAGU,#65,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS324,COIL:DC24V,0.36~0.54A 0.15~0.24A,1,FUJI,UL 18kA with EW125JAGU,#65,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS324,COVER,SZ-T4,1,FUJI,UL 18kA with EW125JAGU,#65,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS324,COVER,SZ-T13,1,FUJI,UL 18kA with EW125JAGU,#65,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS324,SURGE ABS. UNIT,SZ-Z1,1,FUJI,UL 18kA with EW125JAGU,#65,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS349,MAGNETIC SWITCH,SW-5-1/G/2E,1,FUJI,UL 18kA with EW125JAGU,#66,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS349,COIL:DC24V,0.36~0.54A 0.15~0.24A,1,FUJI,UL 18kA with EW125JAGU,#66,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS349,COVER,SZ-T4,1,FUJI,UL 18kA with EW125JAGU,#66,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS349,COVER,SZ-T13,1,FUJI,UL 18kA with EW125JAGU,#66,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS349,SURGE ABS. UNIT,SZ-Z1,1,FUJI,UL 18kA with EW125JAGU,#66,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MMS4 (THR4),MANUAL MOTOR STARTER,"BM3RHR-010 32AF, 3P, 6.3-10A",1,FUJI,UL 100kA,67,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MMS4 (THR4),ALARM CONTACTS,BZOKIB,1,FUJI,UL 100kA,67,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MMS4 (THR4),AUX. & ALARM CONTACTS,"BZOWKUAB 1a(AUX.), 1b(ALARM)",1,FUJI,UL 100kA,67,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MMS4 (THR4),LONG COVER,BZORTCRE,1,FUJI,UL 100kA,67,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
