Loc.,Item #,Manuf. ,Part #,Description,Qty.,1ST CHECK,2ND CHECK,NOTES,WORK ORDER,Cost,Total Value,Cost New,,
1R-A62A,S007046,MITSUBISHI,FR-A540-11K-NA,INVERTER,1,,,,,"1,125.00",1125,"$1,468.00",,
1R-A62B,,OMRON,NS8-TV00-V2,INTERACTIVE DISPLAY,0,,,,,1.00,0,,,
1R-A62C,S010448,SANYO-DENKI,QS1A10AA,SERVO DRIVE,1,,,,,"2,290.00",2290,$1.00,,
1R-A63A,S003696,FANUC,A16B-1010-0286,CIRCUIT BOARD,1,,,,,825.00,825,"$5,017.00",,
1R-A63B,S000898,FANUC,A16B-2203-0111,BOARD,1,,,,,1.00,1,"$1,030.00",,
1R-A64A,S002118,FANUC,A20B-8100-0136,CIRCUIT BOARD,4,,,,,"1,290.00",5160,"$2,519.00",,
1R-A64B,?,FANUC,A20B-1007-0491,BOARD OMRON,1,,,,,1.00,1,,,
1R-A64C,,SHINKO ELECTRIC,SA-DM-299AW,DISPLACEMENT METER,1,,,,122206,530.00,530,,,
1R-A64D,S000883,FANUC,A16B-2200-0390,CIRCUIT BOARD,2,,,,,"1,460.00",2920,"$3,128.00",,
1R-A64E,S000894,FANUC,A16B-2202-0720,CIRCUIT BOARD,4,,,,,"1,320.00",5280,"$2,334.00",,
1R-A64F,S010417,FANUC ,A16B-2203-0881,CPU BOARD,2,,,,,675.00,1350,$682.00,,
1R-A65A,,SHOUN,34-1071,BOARD,1,,,,,250.00,250,,,
1R-A65B,S014720,OKK (JAPAN),YM9094899A,BOARD,1,,,,,300.00,300,,,
1R-A65C,S003711,FANUC,A20B-2000-0170,CIRCUIT BOARD,1,,,,,800.00,800,"$1,497.00",,
1R-A65D,S002087,FANUC,A16B-2100-0200/05D-R,CIRCUIT BOARD,1,,,,,220.00,220,"$5,992.00",,
1R-A65E,?,FANUC,A16B-1100-0280,CIRCUIT BOARD,1,,,,,800.00,800,"$2,968.65",,
1R-A65F,,FANUC,A03B-0815-C001,I/O MODULE,2,,,,,250.00,500,$782.00,,
1R-A66A,?,FANUC,A20B-8100-0530/05B,CIRCUIT BOARD,1,,,,,385.00,385,"$2,138.81",,
1R-A66B,,LAMBDA,EWS100-24 AYL-816KG1-0184-P357,POWER SUPPLY,1,,,,,255.00,255,,,
