epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,88.8993,1.11123,1.87493,0.00142,0.32786,0.29163,0.25003,0.1939,0.96909,3.0105,0.00209,0.000307,0.000307,0.000307
107,89.5239,0.99998,1.96117,0.00187,0.32786,0.29163,0.25003,0.1939,0.96909,3.0105,0.00209,0.0003004,0.0003004,0.0003004
108,90.1531,0.93325,2.00114,0.00171,0.3316,0.28336,0.26002,0.20337,0.96429,2.99605,0.00206,0.0002938,0.0002938,0.0002938
109,90.7597,1.18294,2.08093,0.00141,0.3316,0.28336,0.26002,0.20337,0.96429,2.99605,0.00206,0.0002872,0.0002872,0.0002872
110,91.6821,1.06984,1.7996,0.0017,0.34132,0.28098,0.26414,0.20754,0.95359,2.99867,0.00202,0.0002806,0.0002806,0.0002806
111,92.3147,1.07834,1.90577,0.0013,0.34132,0.28098,0.26414,0.20754,0.95359,2.99867,0.00202,0.000274,0.000274,0.000274
112,92.9334,0.92045,1.81155,0.00154,0.3943,0.27397,0.26448,0.21052,0.97037,2.98363,0.00204,0.0002674,0.0002674,0.0002674
113,93.5465,1.16981,2.01319,0.00156,0.3943,0.27397,0.26448,0.21052,0.97037,2.98363,0.00204,0.0002608,0.0002608,0.0002608
114,94.1981,0.98334,1.89587,0.00144,0.38521,0.28015,0.26441,0.21046,0.97085,3.00152,0.00202,0.0002542,0.0002542,0.0002542
115,94.7883,0.98994,1.75746,0.00144,0.38521,0.28015,0.26441,0.21046,0.97085,3.00152,0.00202,0.0002476,0.0002476,0.0002476
116,95.4076,0.99834,1.85273,0.00164,0.36917,0.28951,0.27144,0.2126,0.96597,2.98403,0.00201,0.000241,0.000241,0.000241
117,96.0232,1.12457,2.11971,0.00178,0.36917,0.28951,0.27144,0.2126,0.96597,2.98403,0.00201,0.0002344,0.0002344,0.0002344
